[INFO] [2020-05-16 00:09:08,749] Watching for file changes with StatReloader 

[DEBUG] [2020-05-16 00:09:08,750] Waiting for apps ready_event. 

[DEBUG] [2020-05-16 00:09:08,886] Apps ready_event triggered. Sending autoreload_started signal. 

[DEBUG] [2020-05-16 00:09:08,902] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,902] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\django\contrib\admin\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,903] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\django\contrib\auth\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,912] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,912] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,913] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\django\contrib\messages\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,913] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\django\contrib\sites\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,913] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\debug_toolbar\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,914] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\BlogVenv\lib\site-packages\mptt\locale with glob **/*.mo. 

[DEBUG] [2020-05-16 00:09:08,914] Watching dir C:\Work\Software\eclipse-jee-2019-12-R-win32-x86_64\workspace\Blog\menu\locale with glob **/*.mo. 

